Season,Name,Conference,W,L,T,PCT
2023,Dartmouth,Ivy League,3.0,38.0,0.0,0.073
2024,Dartmouth,Ivy League,13.0,26.0,0.0,0.333
2025,Dartmouth,Ivy League,,,,
2017,Davidson,Atlantic 10,35.0,26.0,0.0,0.574
2018,Davidson,Atlantic 10,33.0,21.0,0.0,0.611
2019,Davidson,Atlantic 10,29.0,22.0,0.0,0.569
2021,Davidson,Atlantic 10,27.0,24.0,0.0,0.529
2022,Davidson,Atlantic 10,43.0,13.0,0.0,0.768
2023,Davidson,Atlantic 10,30.0,24.0,0.0,0.556
2024,Davidson,Atlantic 10,24.0,28.0,0.0,0.462
2025,Davidson,Atlantic 10,27.0,29.0,0.0,0.48214285714285715
2017,Dayton,Atlantic 10,20.0,35.0,0.0,0.364
2018,Dayton,Atlantic 10,21.0,31.0,0.0,0.404
2019,Dayton,Atlantic 10,32.0,26.0,1.0,0.551
2021,Dayton,Atlantic 10,24.0,27.0,0.0,0.471
2022,Dayton,Atlantic 10,23.0,27.0,0.0,0.46
2023,Dayton,Atlantic 10,26.0,34.0,0.0,0.433
2024,Dayton,Atlantic 10,33.0,22.0,0.0,0.6
2025,Dayton,Atlantic 10,27.0,31.0,0.0,0.46551724137931033
2017,Delaware,Conference USA,34.0,23.0,0.0,0.596
2018,Delaware,Conference USA,31.0,27.0,0.0,0.534
2019,Delaware,Conference USA,21.0,33.0,0.0,0.389
2021,Delaware,Conference USA,12.0,22.0,0.0,0.353
2022,Delaware,Conference USA,25.0,26.0,0.0,0.49
2023,Delaware,Conference USA,30.0,29.0,0.0,0.508
2024,Delaware,Conference USA,31.0,26.0,0.0,0.544
2025,Delaware,Conference USA,28.0,25.0,0.0,0.5283018867924528
2017,Delaware St.,Northeast,22.0,25.0,0.0,0.468
2018,Delaware St.,Northeast,9.0,35.0,0.0,0.205
2019,Delaware St.,Northeast,20.0,25.0,0.0,0.444
2021,Delaware St.,Northeast,15.0,28.0,0.0,0.349
